TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
KIOSTF,2013/01/02,B,4
KIOSTF,2013/01/02,S,1
KR,2013/01/02,S,1
LBH,2013/01/02,B,472
LBH,2013/01/02,S,349
LEW,2013/01/02,B,200
LEW,2013/01/02,S,120
LHC,2013/01/02,B,285
LHC,2013/01/02,S,382
LHG,2013/01/02,B,19
LHG,2013/01/02,S,16
LON,2013/01/02,B,339
LON,2013/01/02,S,236
MAPPSP,2013/01/02,S,1
MDC,2013/01/02,B,138
MDC,2013/01/02,S,299
MEY,2013/01/02,S,1
MFL,2013/01/02,B,5
MFL,2013/01/02,S,9
MIM,2013/01/02,S,1
MIX,2013/01/02,B,2
MIX,2013/01/02,S,1
MMH,2013/01/02,B,1
MMH,2013/01/02,S,2
MMI,2013/01/02,B,424
MMI,2013/01/02,S,756
MML,2013/01/02,B,19
MML,2013/01/02,S,8
MMP,2013/01/02,S,1
MMS,2013/01/02,S,1
MND,2013/01/02,B,488
MND,2013/01/02,S,531
MNP,2013/01/02,B,632
MNP,2013/01/02,S,397
MNY,2013/01/02,S,1
MOR,2013/01/02,B,4
MOR,2013/01/02,S,3
MPC,2013/01/02,B,472
MPC,2013/01/02,S,743
MPCIHA,2013/01/02,B,5
MPCIHA,2013/01/02,S,1
MPT,2013/01/02,B,80
MPT,2013/01/02,S,84
MRF,2013/01/02,B,13
MRF,2013/01/02,S,13
MSM,2013/01/02,B,206
MSM,2013/01/02,S,503
MST,2013/01/02,B,2
MST,2013/01/02,S,7
MTA,2013/01/02,B,34
MTA,2013/01/02,S,31
MTN,2013/01/02,B,797
MTN,2013/01/02,S,2296
MTNSBA,2013/01/02,B,1
MTNSBA,2013/01/02,S,1
MTNSBO,2013/01/02,B,1
MTNSBO,2013/01/02,S,2
MTNSBY,2013/01/02,B,2
MTNSBY,2013/01/02,S,1
MTNSTG,2013/01/02,S,2
MUR,2013/01/02,B,71
MUR,2013/01/02,S,263
NBC,2013/01/02,B,14
NBC,2013/01/02,S,32
NBK,2013/01/02,B,2
NBK,2013/01/02,S,1
